"Cause","Year_Code","State","State_Code","Population_Group","Deaths","Population_Size","Crude_Rate","Crude_SE","Age_Adjusted_Rate","Age_Adjusted_SE"
"V01-Y89",1999,"Alabama",1,"All",3405,4430141,76.8598561535626,1.31716750874477,76.7187164697253,1.31580417419667
"V01-Y89",1999,"Alabama",1,"Hispanic or Latino",32,65183,49.092554807235,8.67841960249203,46.1610801526505,9.71004046228264
"V01-Y89",1999,"Alabama",1,"American Indian or Alaska Native, Not Hispanic or Latino",7,22132,31.6284113500813,11.9544158280526,29.5873539650331,11.284561300193
"V01-Y89",1999,"Alabama",1,"Asian or Pacific Islander, Not Hispanic or Latino",8,32953,24.2770005765788,8.58321586728428,19.9736770454933,7.15508700744688
"V01-Y89",1999,"Alabama",1,"Black or African American, Not Hispanic or Latino",956,1156898,82.634769875996,2.67259945712419,86.5880126831126,2.85221567706966
"V01-Y89",1999,"Alabama",1,"White, Not Hispanic or Latino",2402,3152975,76.1820185697635,1.55441140571592,74.0101569846148,1.51661927633679
"V01-Y89",1999,"Alaska",2,"All",473,624779,75.7067699138415,3.48100098929886,87.4985186415768,4.55444102458647
"V01-Y89",1999,"Alaska",2,"Hispanic or Latino",13,23997,54.17343834646,15.0250084404883,95.0420549481561,51.1714183825618
"V01-Y89",1999,"Alaska",2,"American Indian or Alaska Native, Not Hispanic or Latino",167,103680,161.072530864198,12.4641666505788,193.128733239025,16.4116635678658
"V01-Y89",1999,"Alaska",2,"Asian or Pacific Islander, Not Hispanic or Latino",12,29625,40.5063291139241,11.6931700089038,38.6962057006436,11.2573346017626
"V01-Y89",1999,"Alaska",2,"Black or African American, Not Hispanic or Latino",14,24886,56.2565297757775,15.0351900135576,48.1131296608722,12.90047105158
"V01-Y89",1999,"Alaska",2,"White, Not Hispanic or Latino",267,442591,60.3265769073479,3.69192655032935,66.2625511810003,4.48256416643767
"V01-Y89",1999,"Arizona",4,"All",3502,5023823,69.7078698831547,1.17794154973322,71.0737558482057,1.20491751557282
"V01-Y89",1999,"Arizona",4,"Hispanic or Latino",791,1235716,64.0114718915997,2.27598592401899,72.9122768883473,3.09600249112444
"V01-Y89",1999,"Arizona",4,"American Indian or Alaska Native, Not Hispanic or Latino",360,242308,148.571239909537,7.83039188182407,179.978494808379,10.3838060263242
"V01-Y89",1999,"Arizona",4,"Asian or Pacific Islander, Not Hispanic or Latino",35,100257,34.9102805789122,5.90091443300679,34.6762827175276,6.68583244979163
"V01-Y89",1999,"Arizona",4,"Black or African American, Not Hispanic or Latino",128,159387,80.307678794381,7.09826303210724,88.4899472102733,8.46032845930545
"V01-Y89",1999,"Arizona",4,"White, Not Hispanic or Latino",2188,3286155,66.5823736251029,1.4234283609296,62.0486484388202,1.34484188199984
"V01-Y89",1999,"Arkansas",5,"All",1929,2651860,72.7413966046473,1.65621045273866,71.8494793784833,1.64006089905598
"V01-Y89",1999,"Arkansas",5,"Hispanic or Latino",25,74627,33.4999397001085,6.69998794002171,27.6702284566086,6.57089258606535
"V01-Y89",1999,"Arkansas",5,"American Indian or Alaska Native, Not Hispanic or Latino",3,17293,17.3480599086336,10.0159070581673,20.1654044232787,11.6425016720977
