Year,Cycle,Population,Age,Obesity,SE_obesity,NEFF_obesity,LL_obesity,UL_obesity,Rel_obesity
1999.5,1999-2000,"Black, non-Hispanic",18-24,0.26555875,0.041440195,113.572739,0.187084579,0.356647469,Yes
1999.5,1999-2000,"Black, non-Hispanic",25-44,0.42735,0.026901661,338.1542087,0.373985642,0.481998005,Yes
1999.5,1999-2000,"Black, non-Hispanic",45-64,0.426657608,0.024977453,392.1003781,0.367670718,0.487230712,Yes
1999.5,1999-2000,"Black, non-Hispanic",65+,0.417530684,0.034928817,199.3396492,0.348252418,0.489299383,Yes
1999.5,1999-2000,"White, non-Hispanic",18-24,0.177681538,0.03083708,153.6511608,0.120772182,0.247447617,Yes
1999.5,1999-2000,"White, non-Hispanic",25-44,0.252721585,0.020425115,452.6846502,0.213312703,0.2953959,Yes
1999.5,1999-2000,"White, non-Hispanic",45-64,0.354981814,0.034358996,193.9532809,0.287752199,0.42672031,Yes
1999.5,1999-2000,"White, non-Hispanic",65+,0.318314376,0.022186944,440.803899,0.275040962,0.364046908,Yes
1999.5,1999-2000,"Other race, non-Hispanic",18-24,0.170656575,0.065100333,33.39573528,0.063220131,0.3403857,No
1999.5,1999-2000,"Other race, non-Hispanic",25-44,0.446906139,0.071244255,48.69848538,0.304333389,0.596169443,Yes
1999.5,1999-2000,"Other race, non-Hispanic",45-64,0.272709901,0.07170283,38.57766967,0.142170274,0.439815335,Yes
1999.5,1999-2000,"Other race, non-Hispanic",65+,0.196128619,0.086458425,21.09176383,0.057788375,0.424855386,No
1999.5,1999-2000,Mexican American,18-24,0.266460281,0.026814662,271.8388087,0.21486899,0.32322295,Yes
1999.5,1999-2000,Mexican American,25-44,0.333944165,0.029551841,254.6920662,0.276297911,0.395508385,Yes
1999.5,1999-2000,Mexican American,45-64,0.373632533,0.03874706,155.8821451,0.297557902,0.45460983,Yes
1999.5,1999-2000,Mexican American,65+,0.361517743,0.048122385,99.67452338,0.267645863,0.463854979,Yes
1999.5,1999-2000,Other Hispanic,18-24,0.181052225,0.043943688,76.78335169,0.095348254,0.298361332,Yes
1999.5,1999-2000,Other Hispanic,25-44,0.275961151,0.019973061,500.8648699,0.19703902,0.366672712,Yes
1999.5,1999-2000,Other Hispanic,45-64,0.389136032,0.063094757,59.71169671,0.265594033,0.524063401,Yes
1999.5,1999-2000,Other Hispanic,65+,0.26662934,0.041270303,114.8037697,0.166639688,0.387777996,Yes
