
  Obs      RACE  YEAR  STROKE  STROKE_SE       STROKE_NEFF  DIABETES  DIABETES_SE     DIABETES_NEFF
-----  --------  ----  ------  ---------  ----------------  --------  -----------  ----------------
    1  White     1999  0.0214      0.001          20942.04    0.0721       0.0019   18532.296398892
    2  White     2000  0.0221    0.00104  19981.1298076923    0.0743      0.00201  17024.2097967872
    3  White     2001  0.0218    0.00102  20496.6935793925    0.0768      0.00205  16871.3289708507
    4  White     2002  0.0226    0.00107  19293.5976941218    0.0795      0.00211  16437.1307922104
    5  Black     1999  0.0302    0.00313   2989.5130092172    0.1099       0.0054   3354.6635802469
    6  Black     2000  0.0318    0.00328   2861.8344735277    0.1142      0.00561   3214.2233915118
    7  Black     2001  0.0331     0.0034   2768.5458477509    0.1188      0.00583   3080.0220071847
    8  Black     2002  0.0345    0.00352   2688.3514656508    0.1231      0.00604   2958.9269659225
    9  Hispanic  1999  0.0188    0.00271   2511.7522909546    0.0967      0.00612   2332.1454889145
   10  Hispanic  2000  0.0195     0.0028    2438.743622449    0.1014      0.00638   2238.5304782775
   11  Hispanic  2001  0.0203    0.00289   2381.1867673998    0.1062      0.00665    2146.453954435
   12  Hispanic  2002  0.0211    0.00298    2325.885095266    0.1109      0.00691   2065.0285561101

